"","scopusID","doi","pmid","authors","affiliations","countries","year","articletitle","journal","volume","issue","pages","keywords","abstract","ptype","timescited"
"1","2-s2.0-85059542433","10.1016/j.cogsys.2018.12.010",NA,"Mi J.|Tang S.|Deng Z.|Goerner M.|Zhang J.","Universität Hamburg","Germany","2019","Object affordance based multimodal fusion for natural Human-Robot interaction","Cognitive Systems Research","54",NA,"128-137","Multimodal fusion|Natural Human-Robot interaction|Object affordance recognition","© 2018 Elsevier B.V. Spoken language based natural Human-Robot Interaction (HRI) requires robots to have the ability to understand spoken language, and extract the intention-related information from the working scenario. For grounding the intention-related object in the working environment, object affordance recognition could be a feasible way. To this end, we propose a dataset and a deep CNN based architecture to learn the human-centered object affordance. Furthermore, we present an affordance based multimodal fusion framework to realize intended object grasping according to the spoken instructions of human users. The proposed framework contains an intention semantics extraction module which is employed to extract the intention from spoken language, a deep Convolutional Neural Network (CNN) based object affordance recognition module which is applied to recognize human-centered object affordance, and a multimodal fusion module which is adopted to bridge the extracted intentions and the recognized object affordances. We also complete multiple intended object grasping experiments on a PR2 platform to validate the feasibility and practicability of the presented HRI framework.","Article","0"
"2","2-s2.0-85057173888","10.1016/j.ijhcs.2018.11.009",NA,"Cerezo R.|Calderón V.|Romero C.","Universidad de Oviedo|Santiago Apóstol Infant and Primary School|Universidad de Cordoba","Spain","2019","A holographic mobile-based application for practicing pronunciation of basic English vocabulary for Spanish speaking children","International Journal of Human Computer Studies","124",NA,"13-25","English foreign language|Holograms|Interactive learning environments|Learning at early age|Mobile applications","© 2018 This paper describes a holographic mobile-based application designed to help Spanish-speaking children to practice the pronunciation of basic English vocabulary words. The mastery of vocabulary is a fundamental step when learning a language but is often perceived as boring. Producing the correct pronunciation is frequently regarded as the most difficult and complex skill for new learners of English. In order to address these problems this research takes advantage of the power of multi-channel stimuli (sound, image and interaction) in a mobile-based hologram application in order to motivate students and improve their experience of practicing. We adapted the prize-winning HolograFX game and developed a new mobile application to help practice English pronunciation. A 3D holographic robot that acts as a virtual teacher interacts via voice with the children. To test the tool we carried out an experiment with 70 Spanish pre-school children divided into three classes, the control group using traditional methods such as images in books and on the blackboard, and two experimental groups using our drills and practice software. One experimental group used the mobile application without the holographic game and the other experimental group used the application with the holographic game. We performed pre-test and post-test performance assessments, a satisfaction survey and emotion analysis. The results are very promising. They show that the use of the holographic mobile-based application had a significant impact on the children's motivation. It also improved their performance compared to traditional methods used in the classroom.","Article","0"
"3","2-s2.0-85060983455","10.1016/j.robot.2019.01.007",NA,"Savage J.|Rosenblueth D.A.|Matamoros M.|Negrete M.|Contreras L.|Cruz J.|Martell R.|Estrada H.|Okada H.","Universidad Nacional Autónoma de México|Universität Koblenz-Landau|Tamagawa University","Mexico|Germany|Japan","2019","Semantic reasoning in service robots using expert systems","Robotics and Autonomous Systems","114",NA,"77-92","Knowledge representation|Semantic reasoning|Service robots","© 2019 Elsevier B.V. This paper presents the semantic-reasoning module of VIRBOT, our proposed architecture for service robots. We show that by combining symbolic AI with digital-signal processing techniques this module achieves competitive performance. Our system translates a voice command into an unambiguous representation that helps an inference engine, built around an expert system, to perform action and motion planning. First, in the natural-language interpretation process, the system generates two outputs: (1) conceptual dependence, expressing the linguistic meaning of the statement, and (2) verbal confirmation, a paraphrase in natural language that is repeated to the user to confirm that the command has been correctly understood. Then, a conceptual-dependency interpreter extracts semantic role structures from the input sentence and looks for such structures in a set of known interpretation patterns. We evaluate this approach in a series of skill-specific semantic-reasoning experiments. Finally, we demonstrate our system in the general-purpose service robot test of the RoboCup-at-Home international competition, where incomplete information is given to a robot and the robot must recognize and request the missing information, and we compare our results with a series of baselines from the competition where our proposal performed best.","Article","0"
"4","2-s2.0-85013170693","10.1007/s00146-017-0700-0",NA,"Dewandre N.","European Commission","Belgium","2019","Humans as relational selves","AI and Society","34","1","95-98","Attention|Ethics|Hannah Arendt|Hyperconnectivity|Post-human|Rational subject|Relational self","© 2017, Springer-Verlag London. Instead of wondering about the nature of robots, as if our thinking about humans was stable and straightforward, we should dig deeper in thinking about how we think about humans. Indeed, the emotions embedded in the ethical approaches to robots and artificial intelligence, are rooted in a long tradition of thinking about humans, either in an instrumental or in a pseudo-divine way. Both perspectives miss humanness, and are misleading when it comes to thinking about robots and their relationships with humans. With the instrumental way to grasp humanness, humans are seen as machines and, by the same token, robots can easily be seen as human, as a matter of fact. With the quasi-divine way to grasp humanness, humans are seen as aspiring omniscient-omnipotent creatures and, by the same token, robots are projected to be, what men will always fail to become. Hence, our way to think about robots is mirroring our way to think about humans…as long as we hold rationality as a distinctive criteria for humanness. The text below flows from a TEDxULB talk that took place in Brussels on May 4, 2016 (https://www.youtube.com/watch?v=VcGywYSJlf0). It calls for leaving behind the rational subject as proxy for humanness, and embracing instead the figure of the relational self. The relational self is rooted in the Arendtian concept of plurality. Embracing the relational self, instead of the rational subject, has several advantages: it allows to distinguish humans from artefacts; it allows to grasp the dynamics between control, orientation, and recognition and to understand how human freedom flows from this dynamics; it opens to the foregrounding of vulnerability, as a shared characteristic of humanness, instead of as a defect touching only some; last, and surely not least, it points to a new form of vulnerability: that of our attentional spheres, whose protection may deserve a new fundamental right, in order to ensure our integrity, besides and beyond body and home.","Note","0"
"5","2-s2.0-85014052071","10.1007/s00146-017-0697-4",NA,"Shotter J.","University of New Hampshire Durham","United States","2019","Why being dialogical must come before being logical: the need for a hermeneutical–dialogical approach to robotic activities","AI and Society","34","1","29-35","Anticipations|Bakhtin|Bergson|Buber|Craik|Dewey|Dialogical|Dreyfus|Embodiment|Gadamer|Hermeneutics|Merleau-Ponty|Relationality|Social institutions|Wittgenstein","© 2017, Springer-Verlag London. Currently, our official rationality is still of a Cartesian kind; we are still embedded in a mechanistic order that takes it that separate, countable entities (spatial forms), related logically to each other, are the only ‘things’ that matter to us—an order clearly suited to advances in robotics. Unfortunately, it is an order that renders invisible ‘relational things’, non-objective things that exist in time, in the transitions from one state of affairs to another, things that ‘point’ toward possibilities in the future, which mean something to us. I have called such things, hermeneutical–dialogical ‘things’ as they gradually emerge in our back-and-forth, step-by-step relations to the others and otherneses in our surroundings; they consist in the ‘promissory’ things sustaining our trust in each other and in our authorities, in our social organizations and social institutions, and in our culture. Clearly, we need to understand better, not only what robots can, and cannot do, but also the long-term ethical and political implications of inserting robotic activities into our everyday ways of relating ourselves to our surroundings if we are to avoid the dystopian futures envisaged by some. Descartes’ aim of “making ourselves, as it were, masters and possessors of nature,” forgets our larger task of our making ourselves into human beings—of doing together in dialog what we cannot do apart.","Article","0"
"6","2-s2.0-85042213001","10.1007/s00146-018-0828-6",NA,"Wegerif R.|Major L.","University of Cambridge","United Kingdom","2019","Buber, educational technology, and the expansion of dialogic space","AI and Society","34","1","109-119","Buber|Dialogic space theory|Dialogue|Educational technology|Voice","© 2018, The Author(s). Buber’s distinction between the ‘I-It’ mode and the ‘I-Thou’ mode is seminal for dialogic education. While Buber introduces the idea of dialogic space, an idea which has proved useful for the analysis of dialogic education with technology, his account fails to engage adequately with the role of technology. This paper offers an introduction to the significance of the I-It/I-Thou duality of technology in relation with opening dialogic space. This is followed by a short schematic history of educational technology which reveals the role technology plays, not only in opening dialogic space, but also in expanding dialogic space. The expansion of dialogic space is an expansion of what it means to be ‘us’ as dialogic engagement facilitates the incorporation, into our shared sense of identity, of aspects of reality that are initially experienced as alien or ‘other’. Augmenting Buber with an alternative understanding of dialogic space enables us to see how dialogue mediated by technology, as well as dialogue with monologised fragments of technology (robots), can, through education, lead to an expansion of what it means to be human.","Article","3"
"7","2-s2.0-85053222334","10.1007/s00146-018-0859-z",NA,"Baniwal V.","University of Delhi","India","2019","Reconsidering Buber, educational technology, and the expansion of dialogic space","AI and Society","34","1","121-127","Buber|Dialogue|Dialogue via technology|Dialogue with technology|Intersubjectivity","© 2018, Springer-Verlag London Ltd., part of Springer Nature. This paper is an attempt to further the conversation about the possibilities of dialogue with technology that Wegerif and Major (AI Soc, https://doi.org/10.1007/s00146-018-0828-6, 2018) have initiated. In their paper Wegerif and Major (AI Soc, https://doi.org/10.1007/s00146-018-0828-6, 2018) have argued that “constructive dialogue with technology is possible, even essential, and that this takes the form of opening a dialogic space” and they also “argue against Buber that dialogic spaces do not all take the same form, but that they take a multitude of forms depending, to a large extent, on the mediating technology”. Reflecting on the paper by Wegerif and Major (AI Soc, https://doi.org/10.1007/s00146-018-0828-6, 2018), the present paper attempts to highlight certain issues and possibilities for such a dialogue. In the first section of the paper, Wegerif and Major’s (AI Soc, https://doi.org/10.1007/s00146-018-0828-6, 2018) discussion of technology-mediated dialogue has been reflected upon. This is followed by a reflection on the possibility and challenges of engaging in a dialogue with technology as ‘other’ by referring to the case of a robot ‘Sophia’ getting citizenship in the Kingdom of Saudi Arabia. The third section discusses certain concerns regarding the interpretation of Buber’s idea of dialogue by Wegerif and Major (AI Soc, https://doi.org/10.1007/s00146-018-0828-6, 2018). The conclusive section highlights some key aspects that need to be considered while reflecting on the possibility of dialogue with technology.","Article","0"
"8","2-s2.0-85057615336","10.1016/j.compedu.2018.11.008",NA,"Lei M.|Clemente I.M.|Hu Y.","Michigan State University","United States","2019","Student in the shell: The robotic body and student engagement","Computers and Education","130",NA,"59-80","Embodiment|Robots|Social presence|Student engagement|Synchronous learning","© 2018 Elsevier Ltd The purpose of this case study was to explore how the embodiment of graduate students in robotic surrogates was related to their engagement in a class with other robotically and non-robotically embodied classmates. Using a mixed methods design, we collected survey and in-class observational data on the students’ perceptions of their robotic bodies and their engagement in the course. Applying linear models and thematic analysis, we sought to identify prevailing patterns of students’ use their robotic bodies to engage in their learning. Our findings suggest that nonverbal communication with one's robotic body is a dominant form of interaction and engagement in synchronous learning contexts and multiple contextual factors affect robotic students’ engagement. Specifically, the capabilities of the robotic surrogate and the student's perceptions of the surrogate as an extension of their own body may influence their engagement in educational contexts. Patterns of robotic and nonverbal behaviors may also vary with instructional context and social learning. For robotically telepresent students, embodiment becomes a central factor to their engagement and should be included in theories of engagement in technology-mediated contexts that involve surrogate bodies.","Article","0"
"9","2-s2.0-85060187209","10.1016/j.ridd.2019.01.002","30677695","So W.C.|Wong M.K.Y.|Lam W.Y.|Cheng C.H.|Ku S.Y.|Lam K.Y.|Huang Y.|Wong W.L.","Chinese University of Hong Kong","Hong Kong","2019","Who is a better teacher for children with autism? Comparison of learning outcomes between robot-based and human-based interventions in gestural production and recognition","Research in Developmental Disabilities","86",NA,"62-75","Children with ASD|Human-based intervention|Intransitive gestures|Robot-based intervention","© 2019 Elsevier Ltd Background: Individuals with autism spectrum disorder (ASD) tend to show deficits in engaging with humans. Previous findings have shown that robot-based training improves the gestural recognition and production of children with ASD. It is not known whether social robots perform better than human therapists in teaching children with ASD. Aims: The present study aims to compare the learning outcomes in children with ASD and intellectual disabilities from robot-based intervention on gestural use to those from human-based intervention. Methods and procedures: Children aged six to 12 with low-functioning autism were randomly assigned to the robot group (N = 12) and human group (N = 11). In both groups, human experimenters or social robots engaged in daily life conversations and demonstrated to children 14 intransitive gestures in a highly-structured and standardized intervention protocol. Outcomes and results: Children with ASD in the human group were as likely to recognize gestures and produce them accurately as those in the robot group in both training and new conversations. Their learning outcomes maintained for at least two weeks. Conclusions and implications: The social cues found in the human-based intervention might not influence gestural learning. It does not matter who serves as teaching agents when the lessons are highly structured.","Article","0"
"10","2-s2.0-85061275623","10.3390/s19030662","30736302","Ullah S.|Mumtaz Z.|Liu S.|Abubaqr M.|Mahboob A.|Madni H.A.","Khwaja Fareed University of Engineering and Information Technology|Southeast University","Pakistan|China","2019","Single-Equipment with Multiple-Application for an Automated Robot-Car Control System","Sensors (Basel, Switzerland)","19","3","","Android|arduino|bluetooth|hand-gesture recognition|low cost|open source|sensors|smart cars|speech recognition","The integration of greater functionalities into vehicles increases the complexity of car-controlling. Many research efforts are dedicated to designing car-controlling systems that allow users to instruct the car just to show it what it should do; however, for non-expert users, controlling the car with a remote or a switch is complicated. So, keeping this in mind, this paper presents an Arduino based car-controlling system that no longer requires manual control of the cars. Two main contributions are presented in this work. Firstly, we show that the car can be controlled with hand-gestures, according to the movement and position of the hand. The hand-gesture system works with an Arduino Nano, accelerometer, and radio-frequency (RF) transmitter. The accelerometer (attached with the hand-glove) senses the acceleration forces that are produced by the hand movement, and it will transfer the data to the Arduino Nano that is placed on hand glove. After receiving the data, Arduino Nano will convert it into different angle values in ranges of 0°<U+207B>450° and send the data to the RF receiver of the Arduino Uno, which is placed on the car through the RF transmitter. Secondly, the proposed car system is to be controlled by an android based mobile-application with different modes (e.g., touch buttons mode, voice recognition mode). The mobile-application system is the extension of the hand-gesture system with the addition of Bluetooth module. In this case, whenever the user presses any of the touch buttons in the application, and/or gives voice commands, the corresponding signal is sent to the Arduino Uno. After receiving the signal, Arduino will check this against its predefined instructions for moving forward, backward, left, right, and brake; then it will send the command to the motor module to move the car in the corresponding direction. In addition, an automatic obstacle detection system is introduced to improve the safety measurements to avoid any hazards with the help of sensors placed at the front of the car. The proposed systems are designed as a lab-scale prototype to experimentally validate the efficiency, accuracy, and affordability of the systems. The experimental results prove that the proposed work has all in one capability (hand-gesture, touch buttons and voice-recognition with mobile-application, obstacle detection), is very easy to use, and can be easily assembled in a simple hardware circuit. We remark that the proposed systems can be implemented under real conditions at large-scale in the future, which will be useful in automobiles and robotics applications.","Article","0"
"11","2-s2.0-85061569402","10.1063/1.5088286",NA,"Xiang D.|Chen Q.|Li Y.","Southwest Petroleum University China","China","2019","Strain sensing behavior of conductive polymer/carbon nanotube composites coated fiber","AIP Conference Proceedings","2065",NA,"","carbon nanotube|coating|fiber|human motion monitoring|polymer composite|strain sensing","© 2019 Author(s). The last decade has witnessed a tremendous growth of research and development in flexible and wearable strain sensors. However, there are still some challenges associated with the fabrication of strain sensors to achieve a high sensitivity and large workable range at low cost. Here, we report on the development of a highly elastic strain sensor based on a commercial spandex fiber coated with a nanocomposite consisting of multi-walled carbon nanotubes (MWCNTs) and thermoplastic polyurethane (TPU) manufactured by a layer-by-layer (LBL) method. The sensor demonstrated outstanding performance with large workable strain, high sensitivity, excellent repeatability and regular signal responses within a wide measuring frequency range of 0.01~1 Hz. Additionally, the effect of ultraviolet irradiation on the sensor performance was also investigated. Applications of the sensor in monitoring diverse human motions, such as facial microexpressions and speech recognition are also demonstrated, showing its potential for applications in wearable devices and intelligent robots.","Conference Paper","0"
"12","2-s2.0-85043480500","10.1016/j.patrec.2018.03.006",NA,"Tapus A.|Bandera A.|Vazquez-Martin R.|Calderita L.V.","Informatique et Ingénierie des Systèmes|Universidad de Malaga","France|Spain","2019","Perceiving the person and their interactions with the others for social robotics – A review","Pattern Recognition Letters","118",NA,"3-13","Human perception|Human–robot interaction|Proxemics|Social interactions|Social robots","© 2018 Elsevier B.V. Social robots need to understand human activities, dynamics, and the intentions behind their behaviors. Most of the time, this implies the modeling of the whole scene. The recognition of the activities and intentions of a person are inferred from the perception of the individual, but also from their interactions with the rest of the environment (i.e., objects and/or people). Centering on the social nature of the person, robots need to understand human social cues, which include verbal but also nonverbal behavioral signals such as actions, gestures, body postures, facial emotions, and proxemics. The correct understanding of these signals helps these robots to anticipate the needs and expectations of people. It also avoids abrupt changes on the human–robot interaction, as the temporal dynamics of interactions are anchored and driven by a major repertoire of social landmarks. Within the general framework of interaction of robots with their human counterparts, this paper reviews recent approaches for recognizing human activities, but also for perceiving social signals emanated from a person or a group of people during an interaction. The perception of visual and/or audio signals allow them to correctly localize themselves with respect to humans from the environment while also navigating and/or interacting with a person or a group of people.","Article","1"
